Type,Classification,Species,Phenology,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,
Animal,Bird,Goldfinch,First observation,-,-,-,-,-,-,-,-,-,-,-,4/23,-,
Animal,Fish,Goldfish,First observation,-,3/6,5/3,-,-,-,4/8,-,-,-,-,-,-,
Animal,Bird,Grasshoper sparrow,First observation,-,-,-,-,-,-,-,-,-,-,5/13,-,-,
Animal,Amphibian,Gray tree frogs,First observation,-,-,-,-,-,-,-,-,-,-,-,-,5/17,
Animal,Bird,Great blue heron,First observation,-,-,-,-,-,-,-,-,-,-,-,4/1,-,
Animal,Bird,Great crested flycatcher,First observation,-,-,-,-,-,-,-,-,-,5/20,-,-,-,
Animal,Bird,Great egret,First observation,-,-,-,-,-,-,-,-,-,4/17,-,-,-,
Animal,Bird,Green heron,First observation,-,-,-,-,-,-,-,-,-,4/30,-,-,-,
Animal,Bird,Green winged teal,First observation,-,-,-,-,-,-,-,-,-,-,4/15,-,-,
Plant,Plant,Ground-ivy,First observation,5/15,-,-,-,-,-,-,-,-,-,-,-,-,
Animal,Bird,Gulls,First observation,-,-,-,-,-,-,3/30,-,-,3/18,-,-,-,
Animal,Insect,Gypsy moth caterpillars,First observation,-,-,-,5/28,-,-,-,-,-,-,-,-,-,
Plant,Plant,Hepatica,First observation,4/18,-,4/24,-,-,4/20,4/18,4/10,-,4/18,-,-,-,
Plant,Plant,Hepatica,Expanding,-,-,-,-,-,-,-,-,-,-,-,3/31,-,
Plant,Plant,Hepatica,Blooming,-,4/4,-,-,-,-,-,-,-,-,-,-,-,
Animal,Insect,Honey bee,First observation,4/9,-,-,-,-,-,3/24,-,-,-,-,-,-,
Plant,Plant,Honeysuckle,Buds breaking,3/31,-,-,-,-,-,4/1,-,-,-,-,-,-,
Plant,Plant,Honeysuckle,Blooming,-,-,-,-,-,-,-,-,-,-,4/10,-,-,
Plant,Plant,Honeysuckle,Leafing out,-,4/2,-,-,-,-,-,-,-,-,-,3/31,-,
Plant,Plant,Honeysuckles (Morrow),Blooming,5/13,-,-,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Honeysuckles (Tartarian),Blooming,5/13,-,-,-,-,-,-,-,-,-,-,-,-,
Animal,Bird,Hooded merganser,First observation,4/3,3/24,-,-,-,-,-,-,-,-,-,-,-,
Animal,Bird,Horned grebe,First observation,-,4/2,-,-,-,-,-,-,-,-,-,-,-,
Animal,Bird,House wren,First observation,-,-,-,-,-,-,-,-,-,5/2,-,-,-,
Animal,Amphibian,Hyla,First observation,-,-,-,-,-,-,-,-,-,4/1,-,-,-,
Water,State,Ice,Breaking,-,-,3/18,-,-,-,4/2,-,-,-,-,-,-,
Animal,Bird,Indigo bunting,First observation,-,-,-,-,-,-,-,-,-,5/20,6/9,-,-,
Plant,Plant,Jack in the pulpit,Blooming,-,-,-,-,4/27,-,-,-,-,-,-,-,-,
Animal,Bird,Killdeer,First observation,-,-,3/25,3/13,-,-,-,3/27,3/24,-,5/6,-,3/23,
Animal,Bird,Kingbird,First observation,-,-,-,-,-,-,-,-,-,5/8,5/20,-,-,
Animal,Bird,Kingfisher,First observation,3/30,-,-,-,-,-,-,-,-,-,-,4/9,4/5,
